mol_weight,logP,tpsa,num_rotatable,num_hdonors,num_hacceptors,num_rings,num_aromatic,num_heavy_atoms,num_heteroatoms,hall_kier_alpha,kappa1,kappa2,chi0v,chi1v,bertz_ct,num_valence_e,max_partial_charge,homo_energy,smiles
16.043,0.6361,0.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,-0.3877,C
17.031,0.16199999999999998,35.0,0,1,1,0,0,1,1,-0.04,0.9600000000000016,-27.040000000000028,0.7071067811865475,0.0,0.0,3,0.0,-0.257,N
18.015,-0.8247,31.5,0,0,0,0,0,1,1,-0.04,0.9600000000000016,-27.040000000000028,0.5,0.0,0.0,2,0.0,-0.2928,O
26.037999999999997,0.24939999999999998,0.0,0,0,0,0,0,2,0,-0.44,1.5600000000000003,0.5599999999999999,1.1547005383792517,0.3333333333333334,4.754887502163469,8,0.0,-0.2845,C#C
27.025999999999996,0.13978,23.79,0,0,1,0,0,2,1,-0.51,1.49,0.49000000000000005,1.0245638646895838,0.25819888974716115,6.754887502163469,7,0.0,-0.3604,C#N
30.026,-0.1849,17.07,0,0,1,0,0,2,1,-0.33,1.6699999999999997,0.6700000000000002,1.1153550716504106,0.2886751345948129,2.0,6,0.0,-0.267,C=O
30.07,1.0262,0.0,0,0,0,0,0,2,0,0.0,2.0,0.0,2.0,1.0,0.0,8,0.0,-0.3385,CC
32.042,-0.3915,20.23,0,1,1,0,0,2,1,-0.04,1.96,0.9600000000000016,1.4472135954999579,0.4472135954999579,2.0,6,0.0,-0.2653,CO
40.065000000000005,0.6395,0.0,0,0,0,0,0,3,0,-0.44,2.56,1.5600000000000003,2.0773502691896257,0.7886751345948129,21.509775004326936,12,0.0,-0.2609,CC#C
41.053,0.52988,23.79,0,0,1,0,0,3,1,-0.51,2.490000000000001,1.4900000000000018,1.9472135954999579,0.7236067977499789,24.264662506490403,11,0.0,-0.3264,CC#N
44.053,0.2052,17.07,0,0,1,0,0,3,1,-0.33,2.67,1.6699999999999997,1.9855985596534889,0.8130525295851417,10.264662506490405,10,0.0,-0.254,CC=O
45.041,-0.8985000000000001,43.09,0,1,1,0,0,3,2,-0.53,2.4699999999999993,1.4699999999999982,1.5629488288431146,0.5690355937288494,12.264662506490405,9,0.0,-0.2543,C(=O)N
